"You request for product %1 accepted for review!","You request for product %1 accepted for review!"
"Your request can't be sent. Please, contact us if you see this message.","Your request can't be sent. Please, contact us if you see this message."
"Your name","Your name"
"Your email","Your email"
"Apply for discount","Apply for discount"
"Requested product:","Requested product:"
"Your request posted","Your request posted"
"Your request not posted","Your request not posted"
Error,Error
"Personal Discount List","Personal Discount List"
"My Requests","My Requests"
"Loyalty program for Regular Customers","Loyalty program for Regular Customers"
"Already requested!","Already requested!"
"We can't check if it has beent requested.","We can't check if it has beent requested."

